momento1;momento2;momento3;momento4;momento5;momento6;momento7;circularidad;convexidad;esbeltez;nombre
2.81;7.54;9.74;10.24;20.27;15.42;20.6;0.8934664778209853;0.9864260373283974;1.0111110032151789;arandela
2.68;7.61;10.04;9.4;-19.83;14.43;19.12;0.8976182580930583;0.9887126593363822;1.0;arandela
2.76;8.61;10.82;9.67;-21.36;-13.97;19.91;0.8941102496404637;0.9875421219238232;1.0128205128205128;arandela
2.73;7.42;10.22;9.87;20.18;-13.68;19.99;0.8861575301967243;0.9863441279750292;1.0125;arandela
2.74;7.27;10.41;10.03;-20.25;13.68;-22.14;0.8915699791869546;0.9863629769331206;1.0;arandela
2.78;7.24;11.26;9.8;-20.86;13.49;-20.35;0.8930108849193487;0.986907641952469;1.0151515151515151;arandela
2.78;7.24;10.42;10.16;-20.92;14.06;-20.47;0.8863502114902159;0.9856452529846503;1.0047618352826397;arandela
2.63;6.94;10.42;9.06;-19.11;-12.54;-18.86;0.8991773131241794;0.987732848705134;1.0;arandela
2.76;7.5;9.49;9.67;19.32;13.43;19.53;0.8906824364122033;0.9866586718632888;1.004877977592938;arandela
2.78;8.23;11.46;10.38;-21.32;-14.58;-21.86;0.8951330698754061;0.9893422947671627;1.0;arandela
2.83;8.3;11.06;10.12;-21.25;-14.27;20.72;0.8971596179154279;0.9896378074762735;1.0125;arandela
2.76;7.44;10.43;10.08;-20.58;-13.81;20.42;0.8981926365780387;0.9889743071009508;1.0090090168903758;arandela
2.77;7.35;10.75;10.16;-20.67;-13.88;-20.96;0.8939323922275275;0.9881509509110823;1.0126582278481013;arandela
2.85;8.09;11.95;10.1;21.19;14.49;21.42;0.8944470816976567;0.9855169340463458;1.0;arandela
2.92;9.71;11.48;11.05;22.66;-16.14;-22.37;0.8952049870270979;0.9855203619909503;1.0192307692307692;arandela
2.85;8.77;11.44;10.4;-21.93;-14.82;21.33;0.8910740916354098;0.9839945897204689;1.0192307692307692;arandela
2.64;7.58;9.35;9.07;-19.43;12.88;18.28;0.893999065096993;0.9889288142177333;1.0125;arandela
2.13;4.26;10.26;10.32;20.61;12.55;22.33;0.13433231163819476;0.6618527650581191;9.65;clavo
2.13;4.27;6.68;6.66;13.33;8.79;-18.09;0.14549846856772505;0.7028740490278952;9.634782764212584;clavo
1.92;3.85;8.77;8.68;17.41;10.6;-19.32;0.11478642986492701;0.6453629732546023;10.947132356185591;clavo
2.27;4.54;7.41;7.42;14.83;9.69;18.35;0.13502310481670562;0.6864588930682429;9.594529716877812;clavo
2.17;4.35;8.33;8.35;16.69;10.52;19.48;0.12874863124147637;0.6629345904537419;9.842105263157896;clavo
2.27;4.55;9.04;8.93;17.91;11.2;-20.66;0.16909623330626694;0.6508011310084826;7.148983393208262;clavo
1.85;3.72;6.17;6.19;12.37;8.05;-15.83;0.13801333304229202;0.6094173441734417;7.352941176470588;clavo
2.21;4.43;7.88;7.91;15.8;10.12;18.48;0.14490051788538197;0.6424764247642476;7.6204689381914745;clavo
2.08;4.17;6.56;6.56;13.12;8.64;-16.32;0.1246610324913523;0.6857798165137615;9.87569864558076;clavo
2.22;4.46;7.35;7.33;14.68;9.56;-17.79;0.15364094087496993;0.6914430746918057;8.237536238150641;clavo
2.14;4.29;7.01;7.02;14.04;9.17;18.17;0.13979317304770691;0.6690466190676186;8.347192741037407;clavo
2.29;4.6;8.04;8.04;16.09;10.34;-19.92;0.13729863177070303;0.6791561181434599;8.888428286765194;clavo
1.94;3.9;6.49;6.52;13.02;8.47;-16.7;0.14479477070392077;0.6313131313131313;7.004126257592015;clavo
2.24;4.49;10.04;10.79;21.4;13.35;-21.33;0.1530867351333147;0.6382411725516323;7.294117647058823;clavo
1.92;3.87;7.33;7.43;14.81;9.37;-16.3;0.18050037979462108;0.6798225128444652;6.045454545454546;clavo
2.27;4.56;8.06;8.08;16.16;10.36;18.91;0.14727264121753694;0.6277458600878675;7.252170833596923;clavo
2.14;4.28;8.88;8.94;17.85;11.08;19.88;0.12715982283675228;0.6796846351301797;10.301970797124246;clavo
2.28;4.57;8.92;8.95;17.89;11.24;20.32;0.1292980544948593;0.6726228462029356;9.188430530397877;clavo
2.06;4.14;6.95;6.95;13.9;9.02;-17.56;0.10984244911199736;0.6370305164319249;11.264409470566298;clavo
2.2;4.41;8.01;8.02;16.03;10.22;-19.55;0.10845718533211963;0.6519797558797261;10.801771373091755;clavo
2.13;4.27;6.52;6.52;13.04;8.65;16.94;0.1210953634173724;0.6664421997755331;9.866983172968425;clavo
2.22;4.45;7.29;7.29;14.58;9.51;17.78;0.14457343368886147;0.6905940594059405;9.189068130691277;clavo
2.2;4.42;10.21;10.24;20.47;12.53;21.51;0.13168056853815407;0.6898805499211179;9.492487538874451;clavo
1.78;3.6;6.65;6.92;13.71;8.72;16.45;0.18083029703329237;0.5802047781569966;4.5784751250553395;tornillo
2.0;4.01;7.57;7.62;15.22;9.63;-17.81;0.21814810414917632;0.736400559291564;5.999999627945048;tornillo
2.02;4.05;7.48;7.55;15.06;9.57;17.46;0.2087702677396588;0.729957805907173;5.932584093055512;tornillo
1.96;3.95;8.52;8.33;16.76;10.32;17.73;0.22408826782656002;0.7269310280022552;5.623781478014239;tornillo
1.88;3.78;9.82;9.13;18.71;11.04;-18.83;0.20805384234574487;0.701125344187717;6.027536546690898;tornillo
1.85;3.72;8.36;8.86;17.49;10.78;-17.98;0.2119558633089435;0.7172183479029565;6.234695839595285;tornillo
